Name,Salary,Field,Age,City
Gita,37927,Business,56,Pokhara
Nabin,102345,Education,26,Biratnagar
Ramesh,32735,Business,53,Chitwan
Prakash,138410,Business,22,Biratnagar
Suman,102242,Engineer,34,Lalitpur
Bikash,104717,Medicine,33,Lalitpur
Hari,25167,Business,56,Dharan
Suman,60492,Education,50,Butwal
Roshan,123364,Business,37,Biratnagar
Sita,77779,Engineer,22,Lalitpur
Shyam,24373,Finance,24,Janakpur
Roshan,95965,Engineer,37,Nepalgunj
Ram,67823,IT,54,Biratnagar
Hari,115991,Education,56,Bhaktapur
Bikash,37224,Business,22,Nepalgunj
Ramesh,31813,IT,31,Lalitpur
Nabin,139226,Business,40,Dharan
Kiran,58680,Finance,21,Chitwan
Kiran,62823,Medicine,33,Chitwan
Suresh,117973,Finance,57,Lalitpur
Bibek,74460,Engineer,29,Lalitpur
Shyam,43021,Engineer,45,Kathmandu
Ramesh,46318,IT,24,Nepalgunj
Bibek,37322,IT,39,Dharan
Ram,123089,Engineer,30,Nepalgunj
Bibek,90701,Education,56,Kathmandu
Prakash,134879,Engineer,35,Lalitpur
Suman,147335,Engineer,56,Nepalgunj
Anil,67953,Business,44,Biratnagar
Nabin,89579,Finance,54,Nepalgunj
Roshan,85771,Education,41,Bhaktapur
Kiran,139732,Business,44,Nepalgunj
Gita,55720,Medicine,28,Pokhara
Suresh,128851,Education,25,Butwal
Anil,41567,Business,52,Lalitpur
Suresh,53681,Engineer,42,Biratnagar
Shyam,139806,Business,23,Pokhara
Manish,128093,IT,26,Bhaktapur
Roshan,143756,Education,47,Biratnagar
Shyam,83156,Engineer,34,Biratnagar
Sunil,146796,Finance,24,Lalitpur
Shyam,125708,Business,41,Pokhara
Shyam,58684,Engineer,58,Biratnagar
Manish,117853,Education,59,Butwal
Kiran,134084,IT,58,Kathmandu
Sabin,64396,IT,45,Chitwan
Sabin,125412,Education,40,Bhaktapur
Ramesh,35095,Education,21,Bhaktapur
Shyam,81385,Business,60,Pokhara
Sabin,146208,Engineer,37,Biratnagar
Hari,29869,Finance,48,Chitwan
Ramesh,38449,Education,51,Pokhara
Hari,118848,Education,34,Kathmandu
Dipesh,146681,Medicine,42,Kathmandu
Hari,49571,IT,55,Dharan
Bikash,132740,Medicine,44,Butwal
Bibek,108647,Finance,47,Dharan
Sita,114924,Education,31,Lalitpur
Manish,108395,Business,57,Dharan
Bikash,148442,IT,44,Butwal
Manish,72089,Medicine,25,Dharan
Dipesh,146781,IT,59,Biratnagar
Shyam,130853,Medicine,38,Janakpur
Dipesh,125458,Education,35,Dharan
Hari,93048,Engineer,24,Pokhara
Nabin,67942,Engineer,25,Butwal
Manish,31836,Business,37,Nepalgunj
Manish,123636,Finance,29,Bhaktapur
Sabin,71717,IT,44,Lalitpur
Sunil,21824,Finance,60,Butwal
Prakash,54663,Medicine,29,Pokhara
Suresh,90329,Education,44,Kathmandu
Sunil,36199,Business,40,Chitwan
Bikash,79609,Engineer,43,Kathmandu
Prakash,68311,Engineer,26,Biratnagar
Bibek,108188,Business,25,Chitwan
Gita,118174,IT,20,Pokhara
Anil,108125,Finance,39,Pokhara
Suman,54362,Medicine,48,Biratnagar
Sunil,96619,Finance,43,Lalitpur
Hari,69941,Engineer,37,Dharan
Ram,127795,Business,26,Lalitpur
Suman,103695,Engineer,28,Pokhara
Dipesh,143245,Education,25,Janakpur
Manish,68689,Engineer,31,Pokhara
Sita,34201,Medicine,47,Biratnagar
Hari,108452,IT,48,Nepalgunj
Roshan,50647,IT,55,Nepalgunj
Suresh,81797,Education,55,Butwal
Sabin,23280,Medicine,52,Kathmandu
Prakash,101205,Business,46,Dharan
Gita,135898,Finance,26,Lalitpur
Aashish,143623,Business,21,Nepalgunj
Hari,93584,Finance,25,Dharan
Bikash,62992,IT,42,Lalitpur
Aashish,139964,Engineer,55,Kathmandu
Anil,99964,Engineer,25,Pokhara
Ramesh,49015,Education,58,Biratnagar
Suman,104889,Business,58,Bhaktapur
Roshan,28285,Medicine,40,Bhaktapur
Anil,103283,Finance,44,Dharan
Dipesh,127984,Engineer,20,Janakpur
Sabin,80852,Education,38,Janakpur
Ram,139195,Business,46,Chitwan
Roshan,111891,Medicine,44,Chitwan
Anil,59608,IT,25,Chitwan
Sita,105097,Medicine,55,Bhaktapur
Gita,73516,IT,35,Pokhara
Prakash,35292,Business,56,Kathmandu
Sita,38320,Medicine,53,Dharan
Sita,25943,Education,30,Nepalgunj
Roshan,144028,Business,44,Janakpur
Gita,24877,IT,30,Butwal
Prakash,59893,Education,28,Lalitpur
Anil,84569,Engineer,37,Kathmandu
Dipesh,35220,Education,39,Biratnagar
Suresh,32739,Engineer,37,Kathmandu
Sunil,50775,Education,51,Dharan
Suresh,136294,IT,29,Pokhara
Prakash,90457,Finance,24,Chitwan
Sabin,37781,Finance,30,Nepalgunj
Kiran,70940,Engineer,47,Butwal
Prakash,79459,Engineer,37,Bhaktapur
Shyam,68629,Medicine,46,Pokhara
Hari,107881,Education,39,Kathmandu
Nabin,144437,Education,50,Bhaktapur
Prakash,117404,Education,24,Lalitpur
Shyam,111289,Education,43,Chitwan
Ram,143990,Medicine,36,Pokhara
Sunil,90804,Engineer,35,Butwal
Gita,74935,Finance,60,Pokhara
Prakash,96983,Medicine,51,Chitwan
Ramesh,117290,IT,58,Dharan
Suman,115236,Medicine,59,Butwal
Roshan,40253,Medicine,32,Butwal
Nabin,136052,Medicine,49,Chitwan
Roshan,74379,Business,26,Pokhara
Ram,105841,IT,28,Janakpur
Sita,32978,Engineer,39,Dharan
Hari,129273,Finance,20,Lalitpur
Gita,84139,Finance,45,Biratnagar
Roshan,100694,Engineer,41,Dharan
Shyam,73492,Business,59,Biratnagar
Aashish,143083,Finance,44,Lalitpur
Manish,144717,Medicine,41,Butwal
Roshan,56666,Finance,48,Kathmandu
Gita,24288,IT,41,Chitwan
Nabin,110476,IT,47,Butwal
Gita,68566,Engineer,58,Butwal
Shyam,48477,Business,28,Chitwan
Anil,78115,Education,39,Bhaktapur
Aashish,78287,Education,40,Chitwan
Shyam,144591,Business,58,Nepalgunj
Aashish,50947,Finance,32,Kathmandu
Suresh,132125,Business,50,Lalitpur
Bikash,67537,Business,40,Pokhara
Sita,33022,Finance,31,Pokhara
Aashish,148572,IT,45,Biratnagar
Roshan,109873,Medicine,40,Janakpur
Nabin,68147,Engineer,38,Dharan
Dipesh,91364,Education,60,Nepalgunj
Gita,138187,IT,51,Bhaktapur
Bikash,148167,Business,56,Janakpur
Ramesh,104518,Business,35,Kathmandu
Ramesh,67012,Education,40,Dharan
Nabin,27936,Finance,44,Janakpur
Ram,72184,Engineer,37,Dharan
Ramesh,56160,Medicine,45,Janakpur
Sunil,44878,Finance,43,Butwal
Nabin,146904,Education,27,Nepalgunj
Bikash,36011,Finance,56,Bhaktapur
Prakash,144388,Medicine,32,Butwal
Ramesh,131153,Medicine,57,Chitwan
Sita,128028,Business,54,Pokhara
Bibek,79600,Finance,31,Dharan
Shyam,32015,IT,55,Kathmandu
Kiran,106870,IT,21,Janakpur
Bikash,47801,Finance,49,Nepalgunj
Suresh,104109,Medicine,33,Janakpur
Suman,103819,Engineer,48,Nepalgunj
Aashish,98269,Medicine,38,Nepalgunj
Anil,147283,Medicine,24,Lalitpur
Bikash,22799,Engineer,46,Pokhara
Bikash,26629,Education,51,Butwal
Ram,123126,Medicine,28,Lalitpur
Suresh,63713,Engineer,60,Lalitpur
Bibek,51925,Finance,39,Bhaktapur
Sunil,149606,Engineer,35,Bhaktapur
Prakash,36505,IT,36,Lalitpur
Hari,123150,Engineer,29,Kathmandu
Prakash,94000,Medicine,47,Dharan
Aashish,46896,Education,44,Pokhara
Sabin,28992,Finance,24,Dharan
Bibek,128765,Engineer,48,Bhaktapur
Roshan,120290,Medicine,58,Lalitpur
Sunil,92641,Education,50,Nepalgunj
Ram,47152,Engineer,57,Chitwan
Sita,96858,Finance,45,Biratnagar
Prakash,48305,Finance,54,Pokhara
Ramesh,126568,IT,52,Pokhara
Manish,133992,Finance,46,Dharan
Prakash,50539,Education,54,Janakpur
Shyam,63064,Medicine,22,Dharan
Sita,121498,Finance,43,Janakpur
Dipesh,39340,Finance,54,Biratnagar
Nabin,123369,Medicine,58,Chitwan
Aashish,138034,Medicine,60,Janakpur
Sunil,98116,Education,25,Butwal
Nabin,20371,Finance,26,Kathmandu
Dipesh,56342,Education,35,Nepalgunj
Sabin,132513,Finance,42,Nepalgunj
Sita,148978,Engineer,30,Janakpur
Bibek,38964,Finance,59,Dharan
Manish,149437,IT,22,Pokhara
Suresh,37038,IT,56,Dharan
Prakash,90807,IT,45,Lalitpur
Shyam,52853,IT,41,Lalitpur
Nabin,124662,Education,47,Nepalgunj
Ram,42871,Finance,26,Nepalgunj
Sabin,34408,Engineer,20,Nepalgunj
Roshan,106646,Education,26,Pokhara
Suresh,133567,Medicine,36,Pokhara
Aashish,23379,Finance,34,Nepalgunj
Nabin,37275,Business,52,Pokhara
Hari,21947,Finance,53,Chitwan
Sunil,66955,Education,55,Janakpur
Dipesh,123544,IT,57,Biratnagar
Sunil,123341,Business,56,Dharan
Sita,51186,Education,34,Chitwan
Anil,97182,Finance,48,Dharan
Sabin,62437,Engineer,43,Butwal
Anil,22068,Education,45,Nepalgunj
Nabin,42838,Engineer,49,Nepalgunj
Sunil,54782,Business,57,Butwal
Bibek,26868,Medicine,52,Kathmandu
Anil,36614,Education,29,Lalitpur
Roshan,117218,Business,42,Chitwan
Gita,75176,Engineer,21,Dharan
Suresh,88955,Business,50,Lalitpur
Nabin,34896,IT,26,Nepalgunj
Bibek,117735,Education,38,Nepalgunj
Ramesh,28330,IT,46,Dharan
Dipesh,82422,Medicine,25,Kathmandu
Manish,78756,Business,27,Dharan
Anil,121976,Business,29,Biratnagar
Bibek,67453,Business,42,Bhaktapur
Roshan,87271,Business,39,Kathmandu
Ram,97812,Medicine,41,Butwal
Anil,34293,Engineer,49,Chitwan
Anil,79245,Finance,33,Biratnagar
Suresh,86039,Medicine,53,Kathmandu
Nabin,49038,Engineer,50,Biratnagar
Manish,143917,Education,42,Chitwan
Dipesh,100623,Engineer,50,Chitwan
Sunil,25683,Education,26,Chitwan
Suman,115321,Engineer,48,Butwal
Suman,122659,Business,48,Pokhara
Suman,139111,Medicine,40,Bhaktapur
Suresh,133636,Engineer,24,Lalitpur
Sabin,106363,Finance,39,Chitwan
Kiran,88347,Finance,22,Butwal
Ramesh,59535,IT,27,Biratnagar
Hari,80036,Engineer,21,Chitwan
Anil,104323,Medicine,41,Dharan
Sabin,146356,Business,26,Nepalgunj
Dipesh,24082,IT,30,Pokhara
Sunil,27972,Engineer,35,Bhaktapur
Hari,82781,Business,53,Butwal
Bikash,131057,Medicine,31,Bhaktapur
Anil,72640,Medicine,55,Dharan
Bikash,75872,IT,30,Butwal
Suresh,109928,IT,41,Janakpur
Gita,34150,Engineer,55,Biratnagar
Ram,84260,Business,47,Kathmandu
Shyam,113375,Finance,49,Janakpur
Bikash,139236,Business,34,Lalitpur
Kiran,78138,Medicine,45,Pokhara
Dipesh,29632,Medicine,60,Chitwan
Hari,137868,Engineer,31,Janakpur
Suman,30589,Finance,31,Dharan
Nabin,62219,Education,60,Lalitpur
Manish,99730,Engineer,47,Janakpur
Suresh,39442,Medicine,45,Nepalgunj
Bibek,28609,Medicine,21,Kathmandu
Kiran,36540,Business,59,Lalitpur
Bibek,56046,Finance,32,Bhaktapur
Bikash,101830,Business,48,Bhaktapur
Gita,102978,Business,57,Kathmandu
Ram,96724,Engineer,47,Bhaktapur
Sita,91874,Business,44,Kathmandu
Nabin,113343,IT,20,Butwal
Bikash,62622,IT,33,Kathmandu
Ramesh,69925,Business,33,Biratnagar
Sabin,98301,Finance,37,Bhaktapur
Suman,89541,Business,24,Chitwan
Shyam,58652,Medicine,56,Biratnagar
Roshan,79469,Medicine,26,Butwal
Bikash,86263,Finance,54,Janakpur
Sita,99354,Engineer,31,Dharan
Suman,76387,IT,43,Pokhara
Gita,32999,IT,40,Kathmandu
Suman,123952,Engineer,32,Bhaktapur
Sabin,111983,Business,49,Biratnagar
Roshan,34996,Finance,27,Butwal
Dipesh,131777,Education,36,Nepalgunj
Sunil,105814,Education,51,Butwal
Suman,105316,Business,53,Lalitpur
Dipesh,135042,Engineer,60,Butwal
Sabin,120789,Finance,40,Nepalgunj
Nabin,92264,IT,58,Janakpur
Roshan,114481,IT,44,Biratnagar
Suman,133441,Business,59,Biratnagar
Ramesh,48183,Medicine,45,Lalitpur
Kiran,76370,Engineer,57,Chitwan
Suman,79186,Education,27,Pokhara
Prakash,136403,Engineer,42,Chitwan
Bikash,49949,Business,42,Kathmandu
Prakash,74239,Engineer,49,Dharan
Sabin,64424,IT,59,Kathmandu
Kiran,128451,Business,31,Lalitpur
Bikash,79441,IT,39,Nepalgunj
Prakash,72262,Finance,59,Bhaktapur
Suman,74524,Finance,57,Bhaktapur
Hari,115631,Medicine,25,Bhaktapur
Anil,32463,Engineer,28,Bhaktapur
Bikash,60966,Finance,40,Chitwan
Prakash,75936,Engineer,27,Dharan
Sunil,60963,IT,35,Janakpur
Sunil,107177,Business,39,Kathmandu
Roshan,53408,Finance,27,Kathmandu
Hari,69060,Business,31,Butwal
Gita,144989,Finance,43,Lalitpur
Gita,40006,Engineer,29,Lalitpur
Bikash,110023,Finance,52,Nepalgunj
Bibek,140977,Education,44,Kathmandu
Gita,82163,Finance,46,Bhaktapur
Suresh,28799,IT,58,Chitwan
Hari,31957,Medicine,28,Nepalgunj
Nabin,129022,IT,56,Chitwan
Nabin,31188,Business,44,Chitwan
Sunil,32219,Engineer,47,Dharan
Roshan,76606,Engineer,31,Dharan
Suman,32656,Finance,51,Biratnagar
Nabin,117594,Engineer,60,Butwal
Shyam,116835,Medicine,54,Chitwan
Suresh,68843,Medicine,31,Bhaktapur
Nabin,126400,Finance,55,Butwal
Bibek,37054,Finance,30,Chitwan
Manish,92924,Business,51,Janakpur
Ram,27861,Finance,38,Nepalgunj
Manish,96869,IT,28,Dharan
Bibek,145386,IT,31,Nepalgunj
Kiran,93608,IT,40,Pokhara
Ram,93620,Medicine,48,Kathmandu
Aashish,63207,Education,59,Janakpur
Anil,107819,Engineer,23,Biratnagar
Bibek,36021,Business,42,Janakpur
Nabin,73845,Finance,20,Nepalgunj
Roshan,66346,Business,51,Nepalgunj
Roshan,134505,Medicine,28,Chitwan
Dipesh,107207,Finance,32,Chitwan
Bikash,143355,Finance,44,Pokhara
Kiran,118341,Medicine,55,Butwal
Bikash,75435,Engineer,52,Pokhara
Prakash,133782,Finance,51,Biratnagar
Nabin,140041,Engineer,46,Chitwan
Kiran,114510,Medicine,51,Biratnagar
Ram,26743,Business,46,Chitwan
Bibek,146929,Finance,48,Chitwan
Sunil,57700,Education,51,Chitwan
Bibek,98696,Engineer,30,Bhaktapur
Ramesh,60953,Finance,25,Lalitpur
Suman,66090,Engineer,56,Janakpur
Gita,33579,Finance,21,Bhaktapur
Dipesh,95748,Finance,34,Kathmandu
Roshan,86507,Finance,38,Nepalgunj
Ram,47884,Business,22,Dharan
Bibek,40280,Education,37,Biratnagar
Manish,106079,Finance,34,Lalitpur
Manish,83201,Engineer,54,Kathmandu
Ram,49392,Business,38,Butwal
Hari,131054,IT,30,Chitwan
Nabin,34184,Engineer,49,Chitwan
Gita,65890,Engineer,56,Dharan
Suman,130804,Education,51,Dharan
Ramesh,92910,IT,55,Dharan
Shyam,68176,Business,52,Kathmandu
Prakash,35058,Finance,27,Nepalgunj
Bibek,119956,Engineer,56,Nepalgunj
Sunil,56512,Education,27,Bhaktapur
Suresh,95248,Education,37,Biratnagar
Suman,49643,Education,54,Bhaktapur
Sunil,125804,IT,43,Janakpur
Sunil,76244,Finance,54,Butwal
Bibek,130776,Business,22,Biratnagar
Prakash,93526,Engineer,48,Janakpur
Nabin,147735,Education,54,Chitwan
Prakash,120588,Finance,33,Lalitpur
Hari,127272,Finance,47,Janakpur
Kiran,101490,Medicine,26,Lalitpur
Ram,100422,Education,35,Chitwan
Roshan,108470,IT,39,Pokhara
Shyam,104239,Finance,22,Butwal
Aashish,92972,Business,48,Lalitpur
Bikash,23441,Medicine,36,Chitwan
Hari,99822,Finance,42,Janakpur
Shyam,141776,Education,25,Lalitpur
Ram,106223,Education,48,Biratnagar
Bikash,128719,Finance,27,Pokhara
Suresh,110894,Business,35,Bhaktapur
Ram,55054,Medicine,33,Biratnagar
Dipesh,23794,Education,57,Bhaktapur
Gita,43647,Medicine,42,Chitwan
Bikash,55818,IT,59,Dharan
Gita,112104,Finance,60,Biratnagar
Kiran,119930,Education,47,Biratnagar
Sita,60499,IT,30,Chitwan
Manish,140787,Medicine,59,Nepalgunj
Suresh,64541,IT,28,Chitwan
Suman,66009,Business,33,Butwal
Prakash,20800,Engineer,33,Pokhara
Aashish,43777,Business,23,Butwal
Ramesh,134014,Medicine,56,Kathmandu
Dipesh,38776,Business,42,Nepalgunj
Dipesh,94228,Education,54,Nepalgunj
Sita,106159,Medicine,37,Nepalgunj
Ramesh,72531,Business,58,Pokhara
Anil,29120,Finance,54,Butwal
Sita,38595,Finance,30,Bhaktapur
Manish,117120,Business,40,Janakpur
Ram,102991,Education,38,Pokhara
Anil,147377,Education,38,Dharan
Manish,24018,IT,56,Janakpur
Bibek,32026,Education,37,Chitwan
Bibek,117794,Medicine,52,Dharan
Suresh,89531,Finance,26,Kathmandu
Hari,48197,Medicine,28,Lalitpur
Manish,69308,Finance,46,Lalitpur
Bikash,75028,Engineer,23,Bhaktapur
Sita,79460,Education,37,Biratnagar
Anil,64681,Business,28,Dharan
Dipesh,40631,Finance,28,Nepalgunj
Sita,68503,Business,35,Butwal
Manish,60846,Engineer,29,Lalitpur
Shyam,114581,Medicine,40,Biratnagar
Aashish,62517,Business,35,Lalitpur
Roshan,121821,Finance,45,Pokhara
Nabin,143392,Engineer,51,Butwal
Aashish,94395,Finance,29,Biratnagar
Hari,98148,Engineer,56,Lalitpur
Sabin,31135,Education,60,Biratnagar
Sunil,135781,Education,37,Kathmandu
Ram,26895,Education,60,Kathmandu
Nabin,40392,Education,46,Butwal
